UNIQUE_PLOT_ID,Plot,App,App_code,Rep,Trt,Control,Transect,Chem,Chem_code,GPA,GPA_Code,Droplet_cat,TRT_COMBO
C01,1301,Airplane,AIR,1,1,Control,C,,,0,C,,CONTROL
C02,1302,Airplane,AIR,2,1,Control,C,,,0,C,,CONTROL
C07,1303,Helicopter,HEL,3,1,Control,C,,,0,C,,CONTROL
C08,1304,Helicopter,HEL,4,1,Control,C,,,0,C,,CONTROL
C03,1305,Airplane,AIR,5,1,Control,C,,,0,C,,CONTROL
C09,1306,Helicopter,HEL,6,1,Control,C,,,0,C,,CONTROL
C10,1307,Helicopter,HEL,7,1,Control,C,,,0,C,,CONTROL
C04,1308,Airplane,AIR,8,1,Control,C,,,0,C,,CONTROL
C05,1309,Airplane,AIR,9,1,Control,C,,,0,C,,CONTROL
C11,1310,Ground,GRD,10,1,Control,C,,,0,C,,CONTROL
C12,1311,Ground,GRD,11,1,Control,C,,,0,C,,CONTROL
C06,404A,Airplane,AIR,12,1,Control,C,,,0,C,,CONTROL
H01,501,Helicopter,HEL,1,2,Treatment,H1,Indaz.,INDAZ,2.5,W,1,HEL_INDAZ_1
H02,601,Helicopter,HEL,2,2,Treatment,H1,Indaz.,INDAZ,2.5,W,1,HEL_INDAZ_1
H03,701,Helicopter,HEL,3,2,Treatment,H1,Indaz.,INDAZ,2.5,W,1,HEL_INDAZ_1
H04,801,Helicopter,HEL,4,2,Treatment,H1,Indaz.,INDAZ,2.5,W,1,HEL_INDAZ_1
H05,505,Helicopter,HEL,1,3,Treatment,H2,Indaz+imaz,INDAZ_IMAZ,2.5,W,1,HEL_INDAZ_IMAZ_1
H06,605,Helicopter,HEL,2,3,Treatment,H2,Indaz+imaz,INDAZ_IMAZ,2.5,W,1,HEL_INDAZ_IMAZ_1
H07,705,Helicopter,HEL,3,3,Treatment,H2,Indaz+imaz,INDAZ_IMAZ,2.5,W,1,HEL_INDAZ_IMAZ_1
H08,805,Helicopter,HEL,4,3,Treatment,H2,Indaz+imaz,INDAZ_IMAZ,2.5,W,1,HEL_INDAZ_IMAZ_1
H09,502,Helicopter,HEL,1,4,Treatment,H3,Indaz.,INDAZ,5,X,1,HEL_INDAZ_1
H10,602,Helicopter,HEL,2,4,Treatment,H3,Indaz.,INDAZ,5,X,1,HEL_INDAZ_1
H11,702,Helicopter,HEL,3,4,Treatment,H3,Indaz.,INDAZ,5,X,1,HEL_INDAZ_1
H12,802,Helicopter,HEL,4,4,Treatment,H3,Indaz.,INDAZ,5,X,1,HEL_INDAZ_1
H13,506,Helicopter,HEL,1,5,Treatment,H4,Indaz+imaz,INDAZ_IMAZ,5,X,1,HEL_INDAZ_IMAZ_1
H14,606,Helicopter,HEL,2,5,Treatment,H4,Indaz+imaz,INDAZ_IMAZ,5,X,1,HEL_INDAZ_IMAZ_1
H15,706,Helicopter,HEL,3,5,Treatment,H4,Indaz+imaz,INDAZ_IMAZ,5,X,2,HEL_INDAZ_IMAZ_2
H16,806,Helicopter,HEL,4,5,Treatment,H4,Indaz+imaz,INDAZ_IMAZ,5,X,2,HEL_INDAZ_IMAZ_2
H17,503,Helicopter,HEL,1,6,Treatment,H5,Indaz.,INDAZ,10,Y,2,HEL_INDAZ_2
H18,603,Helicopter,HEL,2,6,Treatment,H5,Indaz.,INDAZ,10,Y,2,HEL_INDAZ_2
H19,703,Helicopter,HEL,3,6,Treatment,H5,Indaz.,INDAZ,10,Y,2,HEL_INDAZ_2
H20,803,Helicopter,HEL,4,6,Treatment,H5,Indaz.,INDAZ,10,Y,2,HEL_INDAZ_2
H21,507,Helicopter,HEL,1,7,Treatment,H6,Indaz+imaz,INDAZ_IMAZ,10,Y,3,HEL_INDAZ_IMAZ_3
H22,607,Helicopter,HEL,2,7,Treatment,H6,Indaz+imaz,INDAZ_IMAZ,10,Y,3,HEL_INDAZ_IMAZ_3
